season,team,champion,
1980,Los Angeles Lakers,1,
1981,Boston Celtics,1,
1982,Los Angeles Lakers,1,
1983,Philadelphia 76ers,1,
1984,Boston Celtics,1,
1985,Los Angeles Lakers,1,
1986,Boston Celtics,1,
1987,Los Angeles Lakers,1,
1988,Los Angeles Lakers,1,
1989,Detroit Pistons,1,
1990,Detroit Pistons,1,
1991,Chicago Bulls,1,
1992,Chicago Bulls,1,
1993,Chicago Bulls,1,
1994,Houston Rockets,1,
1995,Houston Rockets,1,
1996,Chicago Bulls,1,
1997,Chicago Bulls,1,
1998,Chicago Bulls,1,
1999,San Antonio Spurs,1,
2000,Los Angeles Lakers,1,
2001,Los Angeles Lakers,1,
2002,Los Angeles Lakers,1,
2003,San Antonio Spurs,1,
2004,Detroit Pistons,1,
2005,San Antonio Spurs,1,
2006,Miami Heat,1,
2007,San Antonio Spurs,1,
2008,Boston Celtics,1,
2009,Los Angeles Lakers,1,
2010,Los Angeles Lakers,1,
2011,Dallas Mavericks,1,
2012,Miami Heat,1,
2013,Miami Heat,1,
2014,San Antonio Spurs,1,
2015,Golden State Warriors,1,
2016,Cleveland Cavaliers,1,
2017,Golden State Warriors,1,
2018,Golden State Warriors,1,
2019,Toronto Raptors,1,
2020,Los Angeles Lakers,1,
2021,Milwaukee Bucks,1,
2022,Golden State Warriors,1,
2023,Denver Nuggets,1,
2024,Boston Celtics,1,